group	N	t1	t2	pr.g1	pr.g2	mean.corr1	mean.corr2	mean.diff
5	5	3	23.0281212055847	3.69782944064459	0	0.08	0.703358783694835	0.310201831642505	0.39315695205233
1123	1123	3	9.51274548426652	4.83938125578923	0	0.05	0.677469081859678	0.289500413096338	0.38796866876334
182	182	4	19.6339809053233	2.75461312889644	0	0.08	0.658086966570069	0.271772662237115	0.386314304332954
150	150	5	27.8696206420002	2.79332033028401	0	0.01	0.635986167904961	0.264659457756328	0.371326710148632
103	103	3	17.6125240531052	2.54980963596423	0	0.13	0.649259475687138	0.279082275225568	0.370177200461569
129	129	3	20.3435495134842	3.54229675046038	0	0.08	0.686121219832315	0.319677525267506	0.366443694564809
70	70	3	13.9749005071237	4.99592882232903	0	0.05	0.660350843950919	0.294330693291274	0.366020150659645
276	276	3	40.5092085300394	2.49806045413802	0	0.13	0.621204986552706	0.25655072204664	0.364654264506066
972	972	3	33.0982459318858	5.45403460662477	0	0.05	0.691366504452648	0.32958455654873	0.361781947903918
753	753	3	22.6072250269376	3.94366815020422	0	0.08	0.698926187384173	0.34366076600378	0.355265421380393
178	178	3	22.4423116321487	5.68707683468791	0	0.04	0.644151947839314	0.299924921654573	0.344227026184741
56	56	7	34.6556243012934	4.59768080348598	0	0	0.65666862410519	0.321497209728817	0.335171414376373
14	14	4	65.5951956952896	6.48204879662706	0	0.01	0.679614515688142	0.349468455149568	0.330146060538574
3	3	17	74.3545290476935	19.436770135687	0	0	0.658302380388411	0.329307086906768	0.328995293481644
4	4	27	119.960141925437	25.5090015813317	0	0	0.707317793069722	0.390282138247742	0.31703565482198
405	405	3	56.4332236852612	2.71518293971707	0	0.12	0.723404789755042	0.411057234013874	0.312347555741169
152	152	3	9.44793572399039	2.0778887952867	0	0.15	0.714514060283619	0.403028127390688	0.311485932892932
127	127	5	25.6629263570946	7.28178753278215	0	0	0.703089118116149	0.416261136651261	0.286827981464888
101	101	7	54.6011241284332	11.3510487619831	0	0	0.656254875474361	0.378171501069731	0.278083374404631
402	402	3	14.3645069273175	3.31914774677328	0	0.08	0.634114551360871	0.35823753291794	0.275877018442931
13	13	14	68.3646052763155	23.4438823087847	0	0	0.693223109641604	0.429858364034518	0.263364745607086
1108	1108	3	14.1482598662434	14.8996805024859	0	0.01	0.658457466939087	0.396821501577016	0.261635965362071
74	74	4	17.1520391299412	4.35443038610937	0	0.03	0.662522116906784	0.419618240002927	0.242903876903856
171	171	8	38.2700026677934	12.1499148560641	0	0	0.693346235546561	0.456628067148553	0.236718168398008
419	419	4	30.6016375060642	9.26258736198906	0	0	0.654337699348246	0.420089630032754	0.234248069315492
501	501	5	23.8077092254437	10.2045424436812	0	0	0.651798608630947	0.418700951934041	0.233097656696906
109	109	14	69.907761835592	16.6295139715	0	0	0.698188197315491	0.467508275852883	0.230679921462607
314	314	3	21.3883640269277	4.52683100110492	0	0.07	0.70640966112187	0.483878472235233	0.222531188886637
139	139	27	113.716261836702	36.0207866232854	0	0	0.693417940037049	0.482368620268148	0.211049319768901
141	141	3	24.8343184529791	4.14366561870765	0	0.08	0.686384266908215	0.493174601044506	0.193209665863709
39	39	3	24.0028223657978	9.32620346709852	0	0.03	0.665865076755975	0.481863200990341	0.184001875765634
644	644	4	21.4441187783402	17.0202978770215	0	0	0.75513415082269	0.571935484097091	0.183198666725598
57	57	4	21.1813239921452	5.78295505955463	0	0.01	0.663203642259562	0.482509447401059	0.180694194858503
62	62	4	22.1615420548426	8.83245595070484	0	0	0.632227163351092	0.470763138184268	0.161464025166824
106	106	5	28.5019306215605	10.6085585417424	0	0	0.68977074878585	0.571896319110772	0.117874429675078
54	54	18	73.3027872426058	39.6394116975297	0	0	0.677787750780202	0.620845099695351	0.0569426510848503
65	65	4	21.7598922464788	12.4009133389302	0	0	0.647860717564931	0.59219999288136	0.0556607246835709
316	316	3	116.886460723798	20.9891073733191	0	0	0.679982718589451	0.808980503852358	-0.128997785262907
